=== Tracker Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
tracker8.pth,1887,3000,0.629,0.629,0.075
tracker14.pth,1789,3000,0.5963333333333334,0.5963333333333334,0.09
tracker28.pth,1787,3000,0.5956666666666667,0.5956666666666667,0.215
tracker24.pth,1781,3000,0.5936666666666667,0.5936666666666665,0.105
tracker26.pth,1766,3000,0.5886666666666667,0.5886666666666668,0.145
tracker20.pth,1726,3000,0.5753333333333334,0.5753333333333333,0.22
tracker16.pth,1710,3000,0.57,0.57,0.095
tracker4.pth,1592,3000,0.5306666666666666,0.5306666666666667,0.135
tracker10.pth,1494,3000,0.498,0.49799999999999994,0.09
tracker22.pth,1468,3000,0.48933333333333334,0.48933333333333334,0.09
tracker12.pth,1375,3000,0.4583333333333333,0.4583333333333332,0.09
tracker18.pth,1341,3000,0.447,0.44700000000000006,0.185
tracker6.pth,1278,3000,0.426,0.4260000000000001,0.14
tracker2.pth,886,3000,0.29533333333333334,0.2953333333333334,0.065
tracker0.pth,872,3000,0.2906666666666667,0.2906666666666667,0.015

=== Target Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
target19.pth,2066,3000,0.6886666666666666,0.6886666666666668,0.37
target29.pth,1915,3000,0.6383333333333333,0.6383333333333334,0.305
target13.pth,1780,3000,0.5933333333333334,0.5933333333333334,0.21
target27.pth,1732,3000,0.5773333333333334,0.5773333333333334,0.32
target17.pth,1701,3000,0.567,0.567,0.09
target21.pth,1635,3000,0.545,0.545,0.075
target25.pth,1584,3000,0.528,0.528,0.065
target9.pth,1566,3000,0.522,0.522,0.08
target5.pth,1416,3000,0.472,0.47200000000000003,0.01
target23.pth,1397,3000,0.4656666666666667,0.4656666666666667,0.055
target15.pth,1323,3000,0.441,0.4409999999999999,0.025
target11.pth,1166,3000,0.38866666666666666,0.3886666666666667,0.03
target1.pth,1057,3000,0.35233333333333333,0.35233333333333333,0.07
target3.pth,1023,3000,0.341,0.3410000000000001,0.035
target7.pth,887,3000,0.2956666666666667,0.29566666666666663,0.025
