tracker_model,target_model,tracker_wins,target_wins,draws
tracker0.pth,target1.pth,3,197,0
tracker0.pth,target3.pth,88,112,0
tracker0.pth,target5.pth,167,33,0
tracker0.pth,target7.pth,65,135,0
tracker0.pth,target9.pth,72,128,0
tracker0.pth,target11.pth,46,154,0
tracker0.pth,target13.pth,27,173,0
tracker0.pth,target15.pth,69,131,0
tracker0.pth,target17.pth,110,90,0
tracker0.pth,target19.pth,40,160,0
tracker0.pth,target21.pth,44,156,0
tracker0.pth,target23.pth,54,146,0
tracker0.pth,target25.pth,27,173,0
tracker0.pth,target27.pth,46,154,0
tracker0.pth,target29.pth,14,186,0
tracker2.pth,target1.pth,186,14,0
tracker2.pth,target3.pth,21,179,0
tracker2.pth,target5.pth,165,35,0
tracker2.pth,target7.pth,97,103,0
tracker2.pth,target9.pth,43,157,0
tracker2.pth,target11.pth,71,129,0
tracker2.pth,target13.pth,23,177,0
tracker2.pth,target15.pth,20,180,0
tracker2.pth,target17.pth,33,167,0
tracker2.pth,target19.pth,50,150,0
tracker2.pth,target21.pth,13,187,0
tracker2.pth,target23.pth,60,140,0
tracker2.pth,target25.pth,25,175,0
tracker2.pth,target27.pth,39,161,0
tracker2.pth,target29.pth,40,160,0
tracker4.pth,target1.pth,144,56,0
tracker4.pth,target3.pth,189,11,0
tracker4.pth,target5.pth,51,149,0
tracker4.pth,target7.pth,174,26,0
tracker4.pth,target9.pth,61,139,0
tracker4.pth,target11.pth,119,81,0
tracker4.pth,target13.pth,73,127,0
tracker4.pth,target15.pth,130,70,0
tracker4.pth,target17.pth,27,173,0
tracker4.pth,target19.pth,43,157,0
tracker4.pth,target21.pth,147,53,0
tracker4.pth,target23.pth,125,75,0
tracker4.pth,target25.pth,148,52,0
tracker4.pth,target27.pth,68,132,0
tracker4.pth,target29.pth,93,107,0
tracker6.pth,target1.pth,153,47,0
tracker6.pth,target3.pth,61,139,0
tracker6.pth,target5.pth,198,2,0
tracker6.pth,target7.pth,44,156,0
tracker6.pth,target9.pth,103,97,0
tracker6.pth,target11.pth,74,126,0
tracker6.pth,target13.pth,69,131,0
tracker6.pth,target15.pth,28,172,0
tracker6.pth,target17.pth,130,70,0
tracker6.pth,target19.pth,126,74,0
tracker6.pth,target21.pth,45,155,0
tracker6.pth,target23.pth,79,121,0
tracker6.pth,target25.pth,57,143,0
tracker6.pth,target27.pth,55,145,0
tracker6.pth,target29.pth,56,144,0
tracker8.pth,target1.pth,158,42,0
tracker8.pth,target3.pth,193,7,0
tracker8.pth,target5.pth,118,82,0
tracker8.pth,target7.pth,195,5,0
tracker8.pth,target9.pth,15,185,0
tracker8.pth,target11.pth,168,32,0
tracker8.pth,target13.pth,55,145,0
tracker8.pth,target15.pth,190,10,0
tracker8.pth,target17.pth,43,157,0
tracker8.pth,target19.pth,34,166,0
tracker8.pth,target21.pth,168,32,0
tracker8.pth,target23.pth,133,67,0
tracker8.pth,target25.pth,187,13,0
tracker8.pth,target27.pth,123,77,0
tracker8.pth,target29.pth,107,93,0
tracker10.pth,target1.pth,88,112,0
tracker10.pth,target3.pth,141,59,0
tracker10.pth,target5.pth,105,95,0
tracker10.pth,target7.pth,102,98,0
tracker10.pth,target9.pth,178,22,0
tracker10.pth,target11.pth,18,182,0
tracker10.pth,target13.pth,141,59,0
tracker10.pth,target15.pth,35,165,0
tracker10.pth,target17.pth,139,61,0
tracker10.pth,target19.pth,53,147,0
tracker10.pth,target21.pth,111,89,0
tracker10.pth,target23.pth,94,106,0
tracker10.pth,target25.pth,117,83,0
tracker10.pth,target27.pth,113,87,0
tracker10.pth,target29.pth,59,141,0
tracker12.pth,target1.pth,104,96,0
tracker12.pth,target3.pth,163,37,0
tracker12.pth,target5.pth,55,145,0
tracker12.pth,target7.pth,168,32,0
tracker12.pth,target9.pth,48,152,0
tracker12.pth,target11.pth,169,31,0
tracker12.pth,target13.pth,23,177,0
tracker12.pth,target15.pth,169,31,0
tracker12.pth,target17.pth,18,182,0
tracker12.pth,target19.pth,33,167,0
tracker12.pth,target21.pth,62,138,0
tracker12.pth,target23.pth,110,90,0
tracker12.pth,target25.pth,81,119,0
tracker12.pth,target27.pth,77,123,0
tracker12.pth,target29.pth,95,105,0
tracker14.pth,target1.pth,129,71,0
tracker14.pth,target3.pth,139,61,0
tracker14.pth,target5.pth,137,63,0
tracker14.pth,target7.pth,144,56,0
tracker14.pth,target9.pth,184,16,0
tracker14.pth,target11.pth,119,81,0
tracker14.pth,target13.pth,158,42,0
tracker14.pth,target15.pth,18,182,0
tracker14.pth,target17.pth,182,18,0
tracker14.pth,target19.pth,114,86,0
tracker14.pth,target21.pth,48,152,0
tracker14.pth,target23.pth,101,99,0
tracker14.pth,target25.pth,90,110,0
tracker14.pth,target27.pth,131,69,0
tracker14.pth,target29.pth,95,105,0
tracker16.pth,target1.pth,151,49,0
tracker16.pth,target3.pth,150,50,0
tracker16.pth,target5.pth,90,110,0
tracker16.pth,target7.pth,182,18,0
